epoch,g_loss,d_loss,l1_loss,wasserstein_d,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr,is_best,best_epoch
18,-0.4101623083750407,-0.14924969199410223,0.1386681159403589,0.31560352630085414,0.009542745351791383,0.0016370969940908253,27.93047268659859,0.06785952039062977,0.01164157846942544,19.411098113943535,False,14
19,-3.37607932832506,-0.14720821383816218,0.13797809680965212,0.312596571193801,0.009182387124747038,0.0015326268505305052,28.172489019441144,0.06529697105288505,0.010898679587990045,19.65311446978078,True,19
20,-1.8024812145233153,-0.09458038820712657,0.13706739836268955,0.29993953462441764,0.009337615035474301,0.001470549253281206,28.37242369639885,0.06640081517398358,0.0104572388343513,19.85304918303616,True,20
21,-1.5434853437211777,-0.13607348809198083,0.13649137606223424,0.2977113941907883,0.009244329389184713,0.0015363551094196737,28.21040354874728,0.06573745124042034,0.010925191547721624,19.691029048349897,False,20
22,-2.5864282584720186,-0.11915053793015296,0.1360993058681488,0.294494145154953,0.00911086956039071,0.0014480267767794431,28.47151332477468,0.06478840298950672,0.010297079011797905,19.9521388130552,True,22
23,-6.058327900780572,-0.14005502077054127,0.1356042620009846,0.29493705283270943,0.009234489127993583,0.0014741860562935472,28.37687578513358,0.06566747613251209,0.010483100451529026,19.857501293961686,False,22
24,-10.087027601877848,-0.13477843842020745,0.1345564187169075,0.28593783071306017,0.009303326904773711,0.0015456937020644546,28.143201180918783,0.06615698970854282,0.01099159950390458,19.623826598070345,False,22
25,-9.855424056582981,-0.0138245919545491,0.13344169943200218,0.2759688325458103,0.009870933182537556,0.0016539592994377016,27.890064172517633,0.070193300396204,0.011761488020420074,19.370689655381344,False,22
26,-12.90627723842197,-0.1079397660471775,0.13281953022877374,0.2640717588795556,0.009001718740910292,0.0014793954906053841,28.37071445265355,0.0640122190117836,0.010520145297050476,19.851339982244127,False,22
27,-14.599342977311876,-0.10730498158931746,0.13292762593428295,0.2595214102003309,0.009092187136411667,0.0015102464880328626,28.3053496048647,0.06465555056929588,0.010739530296996236,19.78597505825391,False,22
28,-12.753778867085774,-0.11444596124799158,0.13248047121365866,0.26117174951235456,0.00906527591869235,0.0014752481947652996,28.328524962348904,0.06446418091654778,0.010490653477609158,19.80915046208621,False,22
29,-12.246653479894002,-0.0877747948125557,0.13174557190471226,0.262962933394644,0.00890538776293397,0.0015088782296516002,28.329533730376433,0.0633272010833025,0.010729800630360841,19.81015912910851,False,22
30,-13.065978151957195,-0.10664147401297527,0.13110786012146208,0.25940186405181886,0.008654330112040042,0.0014419455081224441,28.546576205909798,0.061541900783777234,0.010253834491595625,20.02720167038713,True,30
31,-14.977799332724677,-0.11953716681842447,0.1303085605038537,0.25789880747265287,0.008918778505176306,0.0014446337358094753,28.467525194715968,0.06342242322862149,0.010272950632497668,19.94815070896521,False,30
32,-15.055571558422512,-0.11947172288982966,0.1304435644282235,0.26035187641779584,0.00874367943033576,0.0013856138568371535,28.666851826871188,0.062177272886037825,0.009853253699839115,20.147477356084266,True,32
