epoch,g_loss,d_loss,l1_loss,wasserstein_d,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr
11,7.7927615928649905,-0.22451910616733411,0.08898260756995943,0.35997612562444475,0.007996732788160443,0.001039746549213305,29.89933650029108,0.05686565414071083,0.007393753016367554,21.379961978194874
12,7.222781143612332,-0.20584821896862107,0.0860714243584209,0.3381950806114409,0.007519153039902448,0.0009675741894170642,30.214171801999566,0.0534695316106081,0.006880527315661311,21.69479731029019
13,6.696074112150404,-0.1894578883338857,0.08340098881059223,0.3220069740745756,0.00760109880939126,0.0009731900645419955,30.185565995588576,0.05405225716531277,0.006920462427660823,21.666191509068756
14,6.523785736719767,-0.17983436954462995,0.08095354500081804,0.30472230892711216,0.007646240387111902,0.0010108639195095747,30.03999345786325,0.05437326319515705,0.007188365422189235,21.520618934855
15,6.517040757073296,-0.1703557178135271,0.0786984183324708,0.2887514757845137,0.00782576366327703,0.0010443376726470889,29.901806512056282,0.055649873614311215,0.007426400994881987,21.38243200471134
16,6.237288807762994,-0.15834324371814734,0.07663036096096039,0.2757370516061783,0.007665955973789096,0.0010045317467302084,30.061889654257396,0.05451346300542355,0.007143336627632379,21.542515148396554
17,6.979669393115573,-0.1530493138609108,0.07476709570156204,0.26240295400884417,0.0075360634829849,0.0009827937581576407,30.157621095172818,0.053589782863855365,0.006988755473867059,21.638246542285586
18,6.738866660859849,-0.14286179939905796,0.07294321036338806,0.2494142849445343,0.007601143931970001,0.0010047476913314312,30.070551503170947,0.0540525771677494,0.007144872192293405,21.5511770186737
19,5.953304223166572,-0.13280651019679157,0.07137024766206741,0.2392046873966853,0.007703109737485647,0.0010029275726992637,30.073685861639888,0.05477766767144203,0.007131929090246558,21.55431139850412
20,6.882190167321099,-0.1259406692738885,0.06993218407366011,0.2296048381725947,0.007701777014881372,0.0010268591926433147,29.955890492529864,0.05476819053292274,0.007302109710872173,21.43651590649373
21,7.008374666425917,-0.11591044931389663,0.06842914581298828,0.2185729882982042,0.007536863116547466,0.0009819615457672625,30.15879880196482,0.0535954687744379,0.006982837431132793,21.639424299427255
22,6.821329772949219,-0.10809061597342835,0.06717276796367433,0.2134782299598058,0.00760739129036665,0.0009869800938758998,30.13297174334513,0.054097003489732745,0.00701852492056787,21.613597227660897
23,6.86155492316352,-0.10107283345858256,0.06591464529103704,0.20322839156124328,0.007564151473343372,0.0009864322666544468,30.13991704289139,0.053789520263671876,0.0070146291051059965,21.620542594684004
24,8.187941057629056,-0.09240488409554512,0.06477009930544429,0.19528178275293773,0.0076619070954620835,0.0010029360651969909,30.057921050433492,0.05448467098176479,0.007131989672780037,21.538546478404122
25,6.996770238664415,-0.08249070890413392,0.06374208149645064,0.18385222437646653,0.007559034274891019,0.0009791596967261285,30.164307943130268,0.05375313051044941,0.0069629130885005,21.644933491232223
26,5.902868451648288,-0.0744398639400801,0.0627273755868276,0.17706013548374175,0.007579445047304035,0.0009744303650222718,30.18437171090029,0.053898274153470996,0.00692928247153759,21.66499714273469
27,4.739737408108182,-0.06961167364208785,0.06180625435378816,0.16805569670597711,0.007603577338159084,0.0009950980718713253,30.09644366919223,0.05406988114118576,0.0070762528572231535,21.577069079390046
28,5.662290686077542,-0.0654652861599569,0.06087594116727511,0.16205823283725315,0.007545070769265294,0.0009553859243169426,30.277552279214795,0.053653834760189055,0.006793855363503099,21.758177700345065
29,6.366902488496568,-0.0639604625337654,0.06001882880926132,0.15981690612766478,0.007706024963408708,0.0010159817175008357,30.012993150786013,0.05479839816689491,0.007224758667871356,21.493618618941348
30,7.0939888434939915,-0.055649088339673136,0.059240557667281896,0.1550191181898117,0.007599862245842815,0.0009937676950357854,30.0966515070792,0.05404346399009228,0.007066792203113436,21.577277047426687
31,8.64798699061076,-0.050975602116849664,0.05843852084875107,0.14935676530996958,0.007615866558626294,0.0009701931034214794,30.20589209232704,0.05415727235376835,0.006899150740355253,21.686517594887476
32,8.480859038247003,-0.050902770721250046,0.057696451859341726,0.1479985532893075,0.0076328515075147155,0.0009837458899710327,30.15258276540133,0.05427805408835411,0.0069955261424183846,21.633208231181545
33,6.917529394361708,-0.04578017996196393,0.05700807186961174,0.1426103780666987,0.007588061550632119,0.000985695980489254,30.140525780128097,0.053959548100829126,0.0070093933958560225,21.621151293139757
34,6.825293632083469,-0.04456114356937229,0.05637566547592481,0.14022707339790133,0.007611826248466969,0.0009928435320034623,30.10890008287746,0.05412854142487049,0.007060220511630177,21.58952553268704
