epoch,g_loss,d_loss,l1_loss,wasserstein_d,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr,is_best,best_epoch
13,4.636804667790731,-0.13584152587254855,0.08342876594596439,0.264405874159601,0.007689775619655848,0.0010198816540651023,29.987171299101202,0.05468284823000431,0.007252491544932127,21.467796796334135,False,8
14,4.564141833305359,-0.12737981069529483,0.08088574820094638,0.25116780748632217,0.007643246417865157,0.0010111911280546338,30.023861544672446,0.05435197278857231,0.007190692331641912,21.504486980280447,False,8
15,5.400605011834038,-0.12263111646970105,0.07857990783452988,0.2372685412168503,0.007707932963967323,0.0010605536692310125,29.826652056702937,0.05481196567416191,0.00754171465523541,21.307277585043966,False,8
16,5.949884661250644,-0.11443195082192072,0.07649103464682896,0.22795217487547131,0.007664471678435802,0.0010180594108533114,29.986125986237575,0.054502908140420914,0.007239533355459571,21.46675147935047,False,8
17,6.735685819837782,-0.10751853214701006,0.07453490555948682,0.21739925189812978,0.007671884912997484,0.0010383638495113701,29.912324930781686,0.05455562472343445,0.007383920485153794,21.3929504104448,False,8
18,6.703833855099148,-0.09630962948114784,0.0727720232076115,0.20597017939885456,0.007712207455188036,0.0010321391047909856,29.936690537435595,0.05484236292541027,0.007339655607938767,21.417316050334723,False,8
19,6.47294810242123,-0.08558999843729885,0.07117232335607211,0.1960365938146909,0.0077844398561865095,0.001058913645101711,29.834860909859863,0.055356014892458914,0.007530052354559303,21.31548639290663,False,8
20,5.957086604224311,-0.07566578641313089,0.06963714217477375,0.18540888557831448,0.007669192738831043,0.0010285479365848005,29.949210555621526,0.054536480084061624,0.00731411837041378,21.429836072600956,False,8
21,4.989622650252448,-0.06817907224650742,0.06822113037771649,0.18017384350299837,0.007644403260201216,0.0010223167133517562,29.980712206808754,0.054360199719667435,0.0072698075324296955,21.461337689551307,False,8
22,3.398448912408617,-0.059848622886119036,0.06690524529417356,0.1719795143008232,0.007759634358808398,0.0010600743058603256,29.808360479373345,0.05517962127923966,0.007538306014612317,21.28898593243928,False,8
23,2.5746250722673203,-0.051148722341767074,0.06569265215595563,0.1656305187344551,0.007692907424643636,0.001014315348584205,30.01227877504777,0.05470511801540852,0.00721290884539485,21.492904302485073,False,8
24,2.5996529307895235,-0.04773728087985955,0.06448370498749945,0.15711984317832522,0.007750656036660075,0.0010724790976382793,29.75893696940153,0.055115774646401404,0.0076265179086476564,21.23956239333655,False,8
25,1.9049235762490166,-0.041784492821053225,0.06343317246437073,0.15268767635689842,0.007706962060183287,0.001017402927391231,29.99423376011269,0.05480506233870983,0.007234864961355924,21.47485929899303,False,8
26,2.771408292664422,-0.03175788445991496,0.062350358754396436,0.14372927272982067,0.007725344225764275,0.0010228112048935145,29.978615899978884,0.05493577979505062,0.007273323833942413,21.459241413002072,False,8
27,2.8233843846850926,-0.022751103867535226,0.06139131134748459,0.13912510814269383,0.007772080041468144,0.001049188175238669,29.84684657889192,0.05526812262833118,0.0074608935043215755,21.32747204033401,False,8
28,2.7863331400553384,-0.01842037841677665,0.06052853797872861,0.13542573065890207,0.007616511685773731,0.0010107065725605934,30.032250469251117,0.054161859303712846,0.007187246438115835,21.512875997327633,False,8
29,3.018717423756917,0.002391545320550593,0.05968684662381808,0.13083052592807345,0.007729068677872419,0.001002191670704633,30.048466214257935,0.054962264373898506,0.007126696221530437,21.529091642859225,False,8
30,2.7614852528042264,-0.00553168513819023,0.05888644432359272,0.12709931481546827,0.007616390194743872,0.0010200657823588699,29.994602876680243,0.05416099540889263,0.007253800751641393,21.475228443916727,False,8
31,3.4533967162238226,-0.005892974174684953,0.05809878247976303,0.12232110525502099,0.007680556084960699,0.0010303286369889974,29.93910115033314,0.05461728647351265,0.007326781144365668,21.419726670990507,False,8
32,2.2484360395007665,-0.0026970439128301774,0.057381903886795045,0.11882116979360581,0.007631389237940311,0.0010124617023393513,30.02753028803479,0.054267656058073044,0.007199727464467287,21.50815576406216,False,8
